trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-101.10005063663415,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,0,-81.0904932781806,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",25,14,-1.8533650198246763,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,0,-42.00338261507738,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-15.96675738555447,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,13,-29.768981537726564,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,14,-23.892436205474315,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,9,8.044011406203825,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",35,0,-119.607156390722,"{0: 26, 1: 3, 2: 2, 3: 2, 4: 2}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,0,-10.221102544106856,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,7,-30.164267421705215,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,20,6.982107686730643,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,10,-41.166907297954104,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,12,15.505166893776995,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",30,15,20.09207525254656,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,1,-32.77629949443398,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,0,-14.870400397539441,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,18,11.886921481592388,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
